time,sym,bid,ask,bidSize,askSize
0D20:16:27.913518000,x2,199.9856,200.0325,43,263
0D20:16:27.913524000,x2,199.982,200.0244,20,95
0D20:16:28.002268000,x3,299.9185,300.0862,195,329
0D20:16:28.002272000,x3,299.9645,300.0051,27,181
0D20:16:28.083052000,x1,99.94074,100.061,308,322
0D20:16:28.083056000,x1,99.94659,100.0788,355,141
0D20:16:28.142569000,x2,199.9594,200.0919,250,473
0D20:16:28.142573000,x2,199.9978,200.044,106,35
0D20:16:28.312230000,x3,299.9214,300.0284,323,303
0D20:16:28.312236000,x3,299.966,300.0547,58,257
0D20:16:28.653777000,x2,199.9645,200.0148,488,181
0D20:16:28.653801000,x2,199.9719,200.0672,268,259
0D20:16:28.663081000,x1,99.96011,100.0867,278,478
0D20:16:28.663097000,x1,99.99717,100.061,176,113
0D20:16:28.683361000,x3,299.9258,300.0612,382,189
0D20:16:28.683373000,x3,299.924,300.0619,330,499
0D20:16:28.802745000,x1,99.90626,100.0919,245,130
0D20:16:28.802750000,x1,99.93575,100.0045,51,436
0D20:16:28.862857000,x1,99.93787,100.0806,411,357
0D20:16:28.862865000,x1,99.94352,100.0939,269,249
0D20:16:28.903612000,x2,199.9014,200.0283,238,142
0D20:16:28.903627000,x2,199.9381,200.0705,160,346
0D20:16:28.913914000,x1,99.90064,100.0822,30,194
0D20:16:28.913924000,x1,99.94536,100.0815,279,174
0D20:16:28.962687000,x1,99.97741,100.0417,354,428
0D20:16:28.962690000,x1,99.91726,100.0716,160,144
0D20:16:29.062353000,x1,99.9159,100.0751,105,64
0D20:16:29.062358000,x1,99.9617,100.0329,164,330
0D20:16:29.113466000,x2,199.975,200.0241,265,445
0D20:16:29.113472000,x2,199.9562,200.032,481,37
0D20:16:29.162430000,x1,99.93531,100.0487,223,81
0D20:16:29.162437000,x1,99.94215,100.0384,23,348
0D20:16:29.382215000,x2,199.9536,200.056,73,306
0D20:16:29.382221000,x2,199.9329,200.0209,452,440
0D20:16:29.513135000,x2,199.935,200.0863,65,472
0D20:16:29.513140000,x2,199.9145,200.0547,387,382
0D20:16:29.552358000,x3,299.9312,300.0146,141,400
0D20:16:29.552363000,x3,299.9529,300.0187,361,488
0D20:16:29.562369000,x3,299.9108,300.0781,421,349
0D20:16:29.562374000,x3,299.9274,300.0247,453,119
0D20:16:29.602302000,x1,99.97107,100.0303,331,309
0D20:16:29.602307000,x1,99.93315,100.0708,131,413
0D20:16:29.803204000,x2,199.9886,200.0951,450,341
0D20:16:29.803221000,x2,199.9601,200.0255,320,48
0D20:16:29.863539000,x3,299.9284,300.0301,241,387
0D20:16:29.863548000,x3,299.9752,300.0747,249,8
0D20:16:29.902880000,x2,199.9862,200.0564,77,393
0D20:16:29.902885000,x2,199.9897,200.065,493,317
0D20:16:29.952796000,x1,99.91822,100.0615,150,369
0D20:16:29.952801000,x1,99.9741,100.0846,3,240
0D20:16:29.962690000,x3,299.9558,300.0669,240,382
0D20:16:29.962695000,x3,299.9056,300.0733,349,304
0D20:16:29.982722000,x3,299.9593,300.0364,378,213
0D20:16:29.982728000,x3,299.9662,300.0043,313,412
0D20:16:30.072617000,x2,199.9373,200.029,280,229
0D20:16:30.072624000,x2,199.9674,200.001,157,20
0D20:16:30.253148000,x3,299.9818,300.0149,70,13
0D20:16:30.253154000,x3,299.9269,300.0176,212,487
0D20:16:30.332959000,x3,299.9847,300.0392,317,237
0D20:16:30.332964000,x3,299.9395,300.0803,270,423
0D20:16:30.392795000,x3,299.9727,300.0236,413,378
0D20:16:30.392801000,x3,299.929,300.0835,399,215
0D20:16:30.652270000,x2,199.9965,200.0504,145,422
0D20:16:30.652284000,x2,199.9944,200.04,118,334
0D20:16:30.953723000,x2,199.9273,200.0143,416,33
0D20:16:30.953735000,x2,199.9877,200.0076,37,148
0D20:16:31.023327000,x2,199.9044,200.03,204,203
0D20:16:31.023339000,x2,199.9109,200.0957,192,497
0D20:16:31.073062000,x2,199.919,200.0898,258,320
0D20:16:31.073076000,x2,199.9874,200.073,75,384
0D20:16:31.082701000,x3,299.9599,300.0174,62,466
0D20:16:31.082711000,x3,299.9667,300.0522,143,83
0D20:16:31.193133000,x1,99.95495,100.0529,257,253
0D20:16:31.193146000,x1,99.96586,100.0726,464,254
0D20:16:31.312971000,x1,99.98497,100.0039,197,292
0D20:16:31.312984000,x1,99.92433,100.0548,429,291
0D20:16:31.502282000,x1,99.99825,100.0407,352,82
0D20:16:31.502288000,x1,99.92148,100.0124,105,289
0D20:16:31.952370000,x1,99.95531,100.0012,411,109
0D20:16:31.952374000,x1,99.9574,100.0853,271,435
0D20:16:32.092394000,x3,299.9919,300.0922,441,453
0D20:16:32.092399000,x3,299.9211,300.0111,397,22
0D20:16:32.102692000,x2,199.928,200.0834,150,105
0D20:16:32.102697000,x2,199.9627,200.0709,360,262
0D20:16:32.223110000,x2,199.9119,200.0421,190,497
0D20:16:32.223121000,x2,199.9089,200.0027,360,467
0D20:16:32.253047000,x1,99.93096,100.0985,75,274
0D20:16:32.253059000,x1,99.94517,100.0652,152,22
0D20:16:32.323045000,x2,199.9688,200.0782,458,172
0D20:16:32.323050000,x2,199.9439,200.0086,375,115
0D20:16:32.503191000,x3,299.9168,300.0518,97,214
0D20:16:32.503207000,x3,299.9906,300.0969,5,77
0D20:16:32.643105000,x3,299.9099,300.0748,143,403
0D20:16:32.643109000,x3,299.9355,300.0699,308,397
0D20:16:32.692561000,x1,99.93337,100.0375,499,251
0D20:16:32.692566000,x1,99.95482,100.0336,150,202
0D20:16:32.872915000,x2,199.9175,200.0599,54,354
0D20:16:32.872934000,x2,199.9212,200.0542,148,19
0D20:16:32.892996000,x2,199.9625,200.035,431,338
0D20:16:32.893009000,x2,199.9542,200.0814,429,28
0D20:16:32.953135000,x2,199.9149,200.0979,84,14
0D20:16:32.953140000,x2,199.9567,200.0007,245,130
0D20:16:32.982925000,x3,299.9935,300.0553,483,227
0D20:16:32.982931000,x3,299.993,300.0773,493,176
0D20:16:33.033259000,x1,99.93026,100.0175,380,91
0D20:16:33.033276000,x1,99.99579,100.07,363,167
0D20:16:33.332799000,x2,199.9992,200.0443,411,420
0D20:16:33.332805000,x2,199.9705,200.0089,148,353
0D20:16:33.603267000,x2,199.9755,200.0352,437,174
0D20:16:33.603272000,x2,199.9914,200.0661,486,257
0D20:16:33.622290000,x2,199.901,200.0793,125,485
0D20:16:33.622296000,x2,199.9037,200.0415,297,321
0D20:16:33.742890000,x1,99.98491,100.0469,300,378
0D20:16:33.742900000,x1,99.94914,100.0265,498,478
0D20:16:33.813247000,x1,99.99237,100.0869,64,391
0D20:16:33.813257000,x1,99.95181,100.0844,9,176
0D20:16:33.853111000,x2,199.9909,200.0444,320,173
0D20:16:33.853119000,x2,199.9611,200.0772,3,343
0D20:16:33.922856000,x2,199.9455,200.0852,356,228
0D20:16:33.922866000,x2,199.9352,200.0589,88,56
0D20:16:34.053430000,x2,199.9383,200.0054,294,333
0D20:16:34.053436000,x2,199.985,200.0389,97,372
0D20:16:34.142726000,x1,99.94931,100.0119,184,246
0D20:16:34.142734000,x1,99.9061,100.0051,286,499
0D20:16:34.173151000,x1,99.99906,100.0446,45,47
0D20:16:34.173159000,x1,99.9569,100.081,108,201
0D20:16:34.373517000,x2,199.9505,200.0573,380,190
0D20:16:34.373535000,x2,199.9779,200.0217,216,127
0D20:16:34.393325000,x2,199.9247,200.0939,20,237
0D20:16:34.393332000,x2,199.9631,200.0506,497,47
0D20:16:34.523454000,x3,299.9803,300.0927,257,130
0D20:16:34.523466000,x3,299.9777,300.0995,6,251
0D20:16:34.652808000,x2,199.9355,200.0984,499,71
0D20:16:34.652814000,x2,199.9454,200.0137,419,319
0D20:16:34.763413000,x1,99.98603,100.0482,173,400
0D20:16:34.763430000,x1,99.99647,100.0996,387,436
0D20:16:34.792723000,x2,199.9792,200.0549,464,466
0D20:16:34.792730000,x2,199.971,200.0089,368,147
0D20:16:35.043837000,x3,299.9044,300.0323,456,424
0D20:16:35.043850000,x3,299.9718,300.0849,426,290
0D20:16:35.083092000,x1,99.92089,100.0268,386,440
0D20:16:35.083105000,x1,99.99579,100.0001,413,462
0D20:16:35.812663000,x2,199.9507,200.0291,498,110
0D20:16:35.812667000,x2,199.923,200.0274,56,235
0D20:16:35.842735000,x3,299.9832,300.0258,256,380
0D20:16:35.842752000,x3,299.9751,300.0405,194,172
0D20:16:36.003163000,x1,99.95488,100.0709,329,317
0D20:16:36.003175000,x1,99.93274,100.0976,488,352
0D20:16:36.242381000,x2,199.9102,200.0144,319,192
0D20:16:36.242386000,x2,199.9428,200.0359,301,363
0D20:16:36.302538000,x2,199.9374,200.0174,282,134
0D20:16:36.302543000,x2,199.9246,200.0825,444,424
0D20:16:36.472465000,x1,99.99356,100.0706,164,216
0D20:16:36.472472000,x1,99.93321,100.0076,382,480
0D20:16:36.522401000,x3,299.9065,300.0694,170,84
0D20:16:36.522406000,x3,299.982,300.0951,486,391
0D20:16:36.963243000,x3,299.953,300.0604,248,186
0D20:16:36.963253000,x3,299.9028,300.0988,74,223
0D20:16:36.992541000,x3,299.9658,300.0291,109,499
0D20:16:36.992550000,x3,299.9897,300.0442,326,225
0D20:16:37.023120000,x3,299.9119,300.0415,343,276
0D20:16:37.023125000,x3,299.9148,300.012,492,465
0D20:16:37.033126000,x1,99.94847,100.0684,193,364
0D20:16:37.033130000,x1,99.97478,100.0228,274,138
0D20:16:37.042303000,x2,199.9117,200.0979,304,73
0D20:16:37.042320000,x2,199.9342,200.0751,456,349
0D20:16:37.073523000,x3,299.9502,300.0342,132,117
0D20:16:37.073540000,x3,299.9542,300.0097,361,343
0D20:16:37.222627000,x3,299.9,300.0521,162,426
0D20:16:37.222636000,x3,299.927,300.0535,85,174
0D20:16:37.232685000,x3,299.9755,300.0286,74,179
0D20:16:37.232693000,x3,299.9147,300.0256,369,466
0D20:16:37.343416000,x2,199.9151,200.0848,269,134
0D20:16:37.343433000,x2,199.9095,200.0368,281,204
0D20:16:37.482979000,x3,299.9821,300.0301,363,241
0D20:16:37.482984000,x3,299.994,300.0019,223,475
0D20:16:37.642716000,x2,199.9514,200.0114,139,277
0D20:16:37.642733000,x2,199.934,200.0646,78,205
0D20:16:37.692979000,x2,199.9167,200.0627,108,189
0D20:16:37.692997000,x2,199.9257,200.08,277,135
0D20:16:37.742404000,x1,99.91988,100.0477,350,258
0D20:16:37.742409000,x1,99.94763,100.0389,408,191
0D20:16:37.892825000,x3,299.9399,300.0379,458,265
0D20:16:37.892834000,x3,299.9902,300.0268,325,31
0D20:16:37.942742000,x2,199.929,200.0291,417,163
0D20:16:37.942752000,x2,199.9593,200.0161,92,218
0D20:16:38.132609000,x3,299.9708,300.0513,163,65
0D20:16:38.132614000,x3,299.9324,300.0343,211,451
0D20:16:38.142941000,x2,199.9763,200.0376,321,495
0D20:16:38.142957000,x2,199.9253,200.0472,342,32
0D20:16:38.163248000,x1,99.95865,100.0876,220,397
0D20:16:38.163265000,x1,99.93435,100.0851,27,442
0D20:16:38.212726000,x1,99.94648,100.0481,386,267
0D20:16:38.212738000,x1,99.94851,100.0716,115,190
0D20:16:38.223379000,x2,199.9355,200.0814,480,342
0D20:16:38.223392000,x2,199.9562,200.0361,264,197
0D20:16:38.342855000,x2,199.9626,200.0555,490,357
0D20:16:38.342864000,x2,199.991,200.0091,306,432
0D20:16:38.372452000,x2,199.9982,200.0534,347,317
0D20:16:38.372459000,x2,199.9283,200.0017,157,437
0D20:16:38.673548000,x2,199.9746,200.0624,475,444
0D20:16:38.673560000,x2,199.9506,200.0947,249,445
0D20:16:38.752703000,x1,99.90397,100.0451,244,132
0D20:16:38.752708000,x1,99.90178,100.0691,147,167
0D20:16:38.783404000,x3,299.9837,300.0037,371,114
0D20:16:38.783421000,x3,299.9118,300.0681,205,413
0D20:16:38.822915000,x3,299.9961,300.0754,165,306
0D20:16:38.822928000,x3,299.9874,300.0166,370,309
0D20:16:38.973083000,x1,99.98065,100.0595,491,476
0D20:16:38.973100000,x1,99.91605,100.0669,296,138
0D20:16:38.983381000,x3,299.9948,300.0067,384,17
0D20:16:38.983398000,x3,299.9552,300.0222,57,222
0D20:16:39.003587000,x1,99.91576,100.0296,126,339
0D20:16:39.003604000,x1,99.93,100.0307,351,126
0D20:16:39.053145000,x2,199.9347,200.0543,67,328
0D20:16:39.053149000,x2,199.9642,200.0005,163,351
0D20:16:39.083124000,x1,99.96513,100.0784,98,475
0D20:16:39.083140000,x1,99.93356,100.0693,180,188
0D20:16:39.132998000,x3,299.9646,300.0657,323,113
0D20:16:39.133007000,x3,299.925,300.0575,49,470
0D20:16:39.153338000,x1,99.91725,100.0016,127,250
0D20:16:39.153355000,x1,99.99007,100.0116,71,399
0D20:16:39.193587000,x3,299.9696,300.0212,415,328
0D20:16:39.193599000,x3,299.9434,300.0419,248,491
0D20:16:39.322690000,x3,299.9835,300.0008,206,72
0D20:16:39.322695000,x3,299.9502,300.0766,426,266
0D20:16:39.483155000,x2,199.9064,200.0065,255,450
0D20:16:39.483172000,x2,199.9389,200.0096,461,185
0D20:16:39.522686000,x3,299.9266,300.0824,29,173
0D20:16:39.522691000,x3,299.934,300.0977,130,42
0D20:16:39.892539000,x2,199.9808,200.0339,216,420
0D20:16:39.892549000,x2,199.9499,200.066,89,197
0D20:16:39.972310000,x2,199.9557,200.0787,185,424
0D20:16:39.972316000,x2,199.9434,200.0013,59,132
0D20:16:40.032287000,x2,199.9922,200.0723,492,21
0D20:16:40.032292000,x2,199.9412,200.0656,322,168
0D20:16:40.103306000,x3,299.9282,300.0373,247,303
0D20:16:40.103322000,x3,299.9212,300.0158,348,219
0D20:16:40.113236000,x3,299.9498,300.0754,30,170
0D20:16:40.113248000,x3,299.9861,300.0947,434,172
0D20:16:40.152544000,x3,299.9988,300.0354,239,263
0D20:16:40.152554000,x3,299.9374,300.0629,171,295
0D20:16:40.162920000,x3,299.9942,300.0376,14,335
0D20:16:40.162929000,x3,299.926,300.0179,127,466
0D20:16:40.193050000,x1,99.9124,100.029,285,84
0D20:16:40.193055000,x1,99.97857,100.0725,205,270
0D20:16:40.202996000,x3,299.9016,300.0589,236,12
0D20:16:40.203001000,x3,299.9408,300.0462,145,157
0D20:16:40.284139000,x2,199.9456,200.0316,259,1
0D20:16:40.284157000,x2,199.9089,200.0968,397,370
0D20:16:40.422904000,x1,99.91227,100.0045,103,18
0D20:16:40.422912000,x1,99.91391,100.0755,297,394
0D20:16:40.463481000,x1,99.97498,100.0109,344,427
0D20:16:40.463489000,x1,99.94531,100.0582,329,243
0D20:16:40.682604000,x1,99.91587,100.0583,488,93
0D20:16:40.682609000,x1,99.92101,100.0188,435,326
0D20:16:40.823320000,x3,299.9145,300.0507,368,74
0D20:16:40.823333000,x3,299.9008,300.0133,431,157
0D20:16:40.833770000,x1,99.9499,100.0225,494,265
0D20:16:40.833783000,x1,99.93763,100.0324,103,177
0D20:16:40.842664000,x2,199.9168,200.0826,45,256
0D20:16:40.842676000,x2,199.9912,200.0809,46,93
0D20:16:40.923189000,x3,299.9418,300.0507,153,462
0D20:16:40.923201000,x3,299.9617,300.0045,313,349
0D20:16:40.992949000,x3,299.9634,300.0244,363,356
0D20:16:40.992961000,x3,299.9569,300.0897,194,257
0D20:16:41.023094000,x2,199.9672,200.0199,167,76
0D20:16:41.023106000,x2,199.9648,200.0112,284,472
0D20:16:41.032706000,x2,199.952,200.0437,323,483
0D20:16:41.032717000,x2,199.9662,200.0401,220,425
0D20:16:41.042739000,x2,199.9899,200.0352,378,197
0D20:16:41.042749000,x2,199.9342,200.0615,301,209
0D20:16:41.053041000,x2,199.9695,200.0231,320,196
0D20:16:41.053053000,x2,199.9216,200.0939,177,41
0D20:16:41.113011000,x1,99.94997,100.0537,104,400
0D20:16:41.113016000,x1,99.97794,100.0076,417,417
0D20:16:41.272769000,x3,299.9139,300.0198,338,191
0D20:16:41.272773000,x3,299.9384,300.0624,149,389
0D20:16:41.402626000,x3,299.948,300.0467,38,285
0D20:16:41.402631000,x3,299.9373,300.0388,398,468
0D20:16:41.492886000,x2,199.9938,200.0957,369,139
0D20:16:41.492890000,x2,199.9287,200.0671,248,11
0D20:16:41.712244000,x2,199.9554,200.0392,474,367
0D20:16:41.712248000,x2,199.9205,200.042,56,138
0D20:16:41.782573000,x3,299.9084,300.0435,237,193
0D20:16:41.782577000,x3,299.9587,300.0203,237,293
0D20:16:41.812531000,x2,199.9056,200.0362,258,116
0D20:16:41.812535000,x2,199.9377,200.0147,212,176
0D20:16:41.902699000,x3,299.9641,300.0386,276,114
0D20:16:41.902705000,x3,299.9105,300.0939,65,351
0D20:16:41.912963000,x2,199.9476,200.0237,302,479
0D20:16:41.912970000,x2,199.9667,200.0526,94,139
0D20:16:41.953193000,x1,99.95424,100.0233,228,216
0D20:16:41.953211000,x1,99.98319,100.0071,70,290
0D20:16:42.073088000,x2,199.9677,200.0733,490,129
0D20:16:42.073098000,x2,199.9262,200.0807,261,195
0D20:16:42.322726000,x2,199.948,200.0603,229,307
0D20:16:42.322733000,x2,199.9663,200.0865,278,50
0D20:16:42.483029000,x1,99.9687,100.0268,231,124
0D20:16:42.483038000,x1,99.98774,100.0886,313,220
0D20:16:42.763450000,x3,299.9295,300.027,459,485
0D20:16:42.763463000,x3,299.9737,300.0056,350,68
0D20:16:42.782806000,x2,199.9314,200.0014,196,111
0D20:16:42.782810000,x2,199.9417,200.0838,401,161
0D20:16:42.802730000,x1,99.91567,100.0501,379,443
0D20:16:42.802734000,x1,99.99569,100.016,152,313
0D20:16:43.332709000,x1,99.97466,100.0558,210,180
0D20:16:43.332714000,x1,99.93767,100.0986,78,418
0D20:16:43.362695000,x3,299.9708,300.0306,67,70
0D20:16:43.362701000,x3,299.9916,300.0154,84,27
0D20:16:43.423860000,x2,199.9505,200.0475,497,289
0D20:16:43.423870000,x2,199.9246,200.0887,27,214
0D20:16:43.442827000,x2,199.9824,200.0202,390,266
0D20:16:43.442844000,x2,199.982,200.0067,348,143
0D20:16:43.692571000,x1,99.97425,100.0061,173,113
0D20:16:43.692578000,x1,99.92824,100.0616,153,348
0D20:16:43.712680000,x1,99.98817,100.0005,73,204
0D20:16:43.712685000,x1,99.97413,100.0982,43,181
0D20:16:43.893562000,x3,299.9868,300.0215,396,51
0D20:16:43.893577000,x3,299.937,300.071,42,407
0D20:16:43.932527000,x1,99.96338,100.0913,236,249
0D20:16:43.932531000,x1,99.9734,100.059,190,149
0D20:16:44.122367000,x2,199.9303,200.0461,227,266
0D20:16:44.122377000,x2,199.9672,200.0148,96,220
0D20:16:44.162792000,x2,199.9193,200.0548,148,245
0D20:16:44.162797000,x2,199.9401,200.0235,304,277
0D20:16:44.182426000,x2,199.9771,200.0261,250,451
0D20:16:44.182431000,x2,199.9482,200.06,425,104
0D20:16:44.282794000,x1,99.93756,100.0866,405,193
0D20:16:44.282800000,x1,99.97284,100.0302,392,89
0D20:16:44.343670000,x1,99.98568,100.0624,102,346
0D20:16:44.343687000,x1,99.97254,100.024,362,473
0D20:16:45.053293000,x2,199.9241,200.0777,189,291
0D20:16:45.053310000,x2,199.9167,200.0148,212,317
0D20:16:45.122849000,x1,99.92472,100.0959,421,399
0D20:16:45.122854000,x1,99.93456,100.0796,154,303
0D20:16:45.232699000,x2,199.9848,200.0805,97,432
0D20:16:45.232704000,x2,199.9145,200.0038,7,220
0D20:16:45.423620000,x2,199.9594,200.0582,273,91
0D20:16:45.423633000,x2,199.9067,200.0951,23,427
0D20:16:45.473304000,x3,299.9764,300.0284,65,468
0D20:16:45.473315000,x3,299.9549,300.0289,370,59
0D20:16:45.592659000,x1,99.92031,100.0687,31,59
0D20:16:45.592664000,x1,99.92407,100.0141,220,226
0D20:16:45.632860000,x1,99.97255,100.0855,157,186
0D20:16:45.632867000,x1,99.97016,100.0266,279,38
0D20:16:45.662741000,x2,199.937,200.0198,420,482
0D20:16:45.662748000,x2,199.9036,200.003,149,430
0D20:16:45.752581000,x2,199.9755,200.0854,470,317
0D20:16:45.752598000,x2,199.9454,200.0125,47,455
0D20:16:45.782874000,x2,199.9118,200.0343,165,420
0D20:16:45.782886000,x2,199.9059,200.0781,188,343
0D20:16:45.813548000,x3,299.9052,300.042,138,43
0D20:16:45.813553000,x3,299.9459,300.0308,296,79
0D20:16:45.862771000,x3,299.9067,300.0218,86,312
0D20:16:45.862776000,x3,299.9577,300.0674,395,167
0D20:16:45.922571000,x2,199.9996,200.017,135,288
0D20:16:45.922576000,x2,199.9562,200.0038,2,442
0D20:16:45.953003000,x2,199.9946,200.0471,265,329
0D20:16:45.953020000,x2,199.9273,200.0327,124,112
0D20:16:45.963161000,x2,199.9517,200.0397,260,24
0D20:16:45.963178000,x2,199.9402,200.0001,141,377
0D20:16:46.043481000,x1,99.96678,100.0598,469,198
0D20:16:46.043493000,x1,99.93439,100.0467,118,271
0D20:16:46.073407000,x2,199.9176,200.0656,100,86
0D20:16:46.073418000,x2,199.9004,200.0202,164,176
0D20:16:46.113524000,x1,99.99255,100.0639,346,90
0D20:16:46.113537000,x1,99.98202,100.0453,225,453
0D20:16:46.163176000,x2,199.9861,200.0309,51,388
0D20:16:46.163189000,x2,199.9561,200.0285,401,15
0D20:16:46.182872000,x2,199.985,200.0374,211,3
0D20:16:46.182884000,x2,199.9722,200.0676,476,382
0D20:16:46.193094000,x3,299.9814,300.0756,136,284
0D20:16:46.193106000,x3,299.9554,300.0054,89,423
0D20:16:46.262861000,x2,199.9543,200.0383,130,264
0D20:16:46.262873000,x2,199.9091,200.0377,447,145
0D20:16:46.293010000,x1,99.98203,100.0242,96,369
0D20:16:46.293015000,x1,99.94824,100.0782,470,282
0D20:16:46.353595000,x3,299.9738,300.0691,312,460
0D20:16:46.353612000,x3,299.993,300.0634,295,350
0D20:16:46.423498000,x3,299.9587,300.0744,156,299
0D20:16:46.423507000,x3,299.9613,300.0227,339,359
0D20:16:46.432526000,x1,99.93805,100.0767,192,331
0D20:16:46.432534000,x1,99.91453,100.0928,49,178
0D20:16:46.463188000,x1,99.94861,100.0179,233,284
0D20:16:46.463192000,x1,99.96545,100.0308,28,89
0D20:16:46.553434000,x1,99.9509,100.0077,215,346
0D20:16:46.553451000,x1,99.98603,100.0839,200,142
0D20:16:46.602376000,x3,299.9616,300.0776,21,94
0D20:16:46.602381000,x3,299.9885,300.0321,493,127
0D20:16:46.682957000,x1,99.9199,100.0713,462,400
0D20:16:46.682973000,x1,99.97516,100.0489,447,397
0D20:16:46.733202000,x3,299.9581,300.0052,255,166
0D20:16:46.733208000,x3,299.9447,300.0024,482,499
0D20:16:46.792609000,x2,199.9235,200.0269,83,138
0D20:16:46.792614000,x2,199.966,200.0621,162,100
0D20:16:46.852611000,x1,99.90346,100.0056,382,119
0D20:16:46.852616000,x1,99.93491,100.0826,89,171
0D20:16:46.872383000,x2,199.9692,200.0203,356,97
0D20:16:46.872388000,x2,199.9799,200.0168,13,390
0D20:16:47.002305000,x2,199.9869,200.0992,357,485
0D20:16:47.002309000,x2,199.976,200.0336,231,327
0D20:16:47.033065000,x3,299.9409,300.0151,314,478
0D20:16:47.033070000,x3,299.9573,300.0826,217,91
0D20:16:47.053952000,x1,99.95158,100.0586,263,235
0D20:16:47.053961000,x1,99.98756,100.008,213,283
0D20:16:47.372899000,x1,99.97216,100.0662,96,22
0D20:16:47.372904000,x1,99.99661,100.0886,74,424
0D20:16:47.552859000,x1,99.91872,100.0927,466,480
0D20:16:47.552863000,x1,99.95618,100.0516,358,317
0D20:16:47.572768000,x3,299.9765,300.0629,274,63
0D20:16:47.572773000,x3,299.9966,300.0535,149,29
0D20:16:47.582238000,x2,199.9271,200.0419,187,85
0D20:16:47.582243000,x2,199.9168,200.0387,220,357
0D20:16:47.612589000,x3,299.9231,300.0649,110,137
0D20:16:47.612593000,x3,299.9204,300.0077,231,325
0D20:16:47.772188000,x2,199.9802,200.0322,8,329
0D20:16:47.772192000,x2,199.9032,200.0728,329,12
0D20:16:47.932859000,x1,99.96428,100.0397,364,243
0D20:16:47.932863000,x1,99.90603,100.0761,6,159
0D20:16:48.062229000,x3,299.912,300.0861,487,43
0D20:16:48.062234000,x3,299.9427,300.0711,354,442
0D20:16:48.103058000,x1,99.91976,100.0648,262,330
0D20:16:48.103063000,x1,99.90777,100.0645,96,397
0D20:16:48.142886000,x1,99.92945,100.05,231,334
0D20:16:48.142889000,x1,99.98488,100.0298,311,181
0D20:16:48.182858000,x1,99.9792,100.0742,359,36
0D20:16:48.182861000,x1,99.96532,100.073,104,85
0D20:16:48.392294000,x3,299.9006,300.0123,493,17
0D20:16:48.392299000,x3,299.9987,300.0606,436,474
0D20:16:48.524115000,x1,99.90876,100.0518,427,266
0D20:16:48.524132000,x1,99.94349,100.0834,355,415
0D20:16:48.543046000,x3,299.9829,300.0436,26,156
0D20:16:48.543059000,x3,299.9885,300.0391,52,194
0D20:16:48.572938000,x2,199.9888,200.006,262,51
0D20:16:48.572950000,x2,199.9133,200.0027,457,459
0D20:16:48.643263000,x2,199.9475,200.0154,190,50
0D20:16:48.643268000,x2,199.9589,200.0461,406,54
0D20:16:48.763035000,x2,199.9634,200.065,445,328
0D20:16:48.763040000,x2,199.9401,200.0796,430,78
0D20:16:48.913739000,x3,299.9593,300.0788,164,339
0D20:16:48.913756000,x3,299.9026,300.0949,150,95
0D20:16:48.953735000,x3,299.9824,300.0942,250,109
0D20:16:48.953747000,x3,299.932,300.0235,128,315
0D20:16:49.002728000,x3,299.9674,300.0951,227,116
0D20:16:49.002740000,x3,299.9952,300.0644,300,237
0D20:16:49.122871000,x3,299.9808,300.0542,499,44
0D20:16:49.122876000,x3,299.9932,300.0836,6,396
0D20:16:49.162694000,x3,299.9402,300.0797,83,467
0D20:16:49.162699000,x3,299.9419,300.0866,114,477
0D20:16:49.533148000,x1,99.93381,100.0945,119,448
0D20:16:49.533153000,x1,99.9945,100.0159,329,249
0D20:16:49.613513000,x2,199.9677,200.06,287,470
0D20:16:49.613522000,x2,199.9759,200.0291,494,467
0D20:16:49.622535000,x1,99.90878,100.0624,161,296
0D20:16:49.622541000,x1,99.92119,100.0693,297,468
0D20:16:49.722889000,x1,99.99246,100.0465,16,433
0D20:16:49.722906000,x1,99.92978,100.033,92,390
0D20:16:49.812975000,x3,299.9963,300.0537,54,494
0D20:16:49.812987000,x3,299.9701,300.0064,117,280
0D20:16:49.963472000,x3,299.9975,300.0489,129,435
0D20:16:49.963484000,x3,299.9944,300.0481,173,106
0D20:16:50.042210000,x2,199.9972,200.0893,232,292
0D20:16:50.042214000,x2,199.971,200.026,259,65
0D20:16:50.363769000,x3,299.9969,300.0649,144,245
0D20:16:50.363781000,x3,299.9417,300.0352,318,120
0D20:16:50.472279000,x3,299.9281,300.0565,329,165
0D20:16:50.472284000,x3,299.992,300.0152,383,98
0D20:16:50.533269000,x1,99.94053,100.026,78,353
0D20:16:50.533282000,x1,99.91526,100.0018,409,422
0D20:16:50.583542000,x3,299.9724,300.0454,24,94
0D20:16:50.583558000,x3,299.9535,300.0928,405,165
0D20:16:50.682982000,x1,99.92755,100.0211,111,280
0D20:16:50.682988000,x1,99.94064,100.0855,415,259
0D20:16:50.872670000,x3,299.9397,300.0795,180,139
0D20:16:50.872675000,x3,299.9025,300.0035,309,262
0D20:16:51.052728000,x3,299.9334,300.0751,111,150
0D20:16:51.052733000,x3,299.9518,300.0585,340,378
0D20:16:51.452679000,x3,299.9943,300.0102,121,188
0D20:16:51.452684000,x3,299.9155,300.0578,442,256
0D20:16:51.662434000,x1,99.94059,100.0269,452,341
0D20:16:51.662448000,x1,99.93443,100.0533,321,411
0D20:16:51.723362000,x3,299.9386,300.0594,451,204
0D20:16:51.723367000,x3,299.9964,300.0823,249,414
